date,parameter,unit,value
1993-02-04,T_max_h1,°C,3.15000
1993-02-05,StrGlo,W/m2,89.31000
1993-02-05,T,°C,2.00000
1993-02-05,p,hPa,980.51000
1993-02-05,T_max_h1,°C,8.03000
1993-02-06,StrGlo,W/m2,103.03000
1993-02-06,T,°C,3.08000
1993-02-06,p,hPa,979.27000
1993-02-06,T_max_h1,°C,8.39000
1993-02-07,StrGlo,W/m2,98.80000
1993-02-07,T,°C,5.81000
1993-02-07,p,hPa,978.22000
1993-02-07,T_max_h1,°C,10.03000
1993-02-08,StrGlo,W/m2,22.64000
1993-02-08,T,°C,3.69000
1993-02-08,p,hPa,979.08000
1993-02-08,T_max_h1,°C,4.34000
1993-02-09,StrGlo,W/m2,23.69000
1993-02-09,T,°C,2.16000
1993-02-09,p,hPa,977.44000
1993-02-09,T_max_h1,°C,2.90000
1993-02-10,StrGlo,W/m2,22.32000
1993-02-10,T,°C,2.02000
1993-02-10,p,hPa,976.83000
1993-02-10,T_max_h1,°C,2.76000
1993-02-11,StrGlo,W/m2,30.05000
1993-02-11,T,°C,1.79000
1993-02-11,p,hPa,978.46000
1993-02-11,T_max_h1,°C,2.70000
1993-02-12,StrGlo,W/m2,70.54000
1993-02-12,T,°C,1.79000
1993-02-12,p,hPa,981.01000
1993-02-12,T_max_h1,°C,4.41000
1993-02-13,StrGlo,W/m2,82.84000
1993-02-13,T,°C,1.68000
1993-02-13,p,hPa,981.69000
1993-02-13,T_max_h1,°C,4.79000
1993-02-14,StrGlo,W/m2,68.89000
1993-02-14,T,°C,0.67000
1993-02-14,p,hPa,980.24000
1993-02-14,T_max_h1,°C,2.96000
1993-02-15,StrGlo,W/m2,34.84000
1993-02-15,T,°C,-0.21000
1993-02-15,p,hPa,979.56000
1993-02-15,T_max_h1,°C,1.21000
1993-02-16,StrGlo,W/m2,30.98000
1993-02-16,T,°C,-0.20000
1993-02-16,p,hPa,976.96000
1993-02-16,T_max_h1,°C,0.88000
1993-02-17,StrGlo,W/m2,14.13000
1993-02-17,T,°C,0.78000
1993-02-17,p,hPa,972.66000
1993-02-17,T_max_h1,°C,2.33000
1993-02-18,StrGlo,W/m2,64.06000
1993-02-18,T,°C,3.48000
1993-02-18,p,hPa,972.70000
1993-02-18,T_max_h1,°C,5.48000
1993-02-19,StrGlo,W/m2,34.94000
1993-02-19,T,°C,3.48000
1993-02-19,p,hPa,966.59000
1993-02-19,T_max_h1,°C,4.96000
1993-02-20,StrGlo,W/m2,71.27000
1993-02-20,T,°C,2.78000
1993-02-20,p,hPa,971.01000
1993-02-20,T_max_h1,°C,4.82000
1993-02-21,StrGlo,W/m2,79.44000
1993-02-21,T,°C,1.89000
1993-02-21,p,hPa,957.85000
1993-02-21,T_max_h1,°C,3.62000
1993-02-22,StrGlo,W/m2,88.33000
1993-02-22,T,°C,-0.65000
1993-02-22,p,hPa,961.60000
1993-02-22,T_max_h1,°C,0.61000
1993-02-23,StrGlo,W/m2,96.02000
1993-02-23,T,°C,-4.72000
1993-02-23,p,hPa,967.44000
1993-02-23,T_max_h1,°C,-2.03000
1993-02-24,StrGlo,W/m2,123.24000
1993-02-24,T,°C,-4.97000
1993-02-24,p,hPa,973.57000
1993-02-24,T_max_h1,°C,-1.87000
1993-02-25,StrGlo,W/m2,136.85000
1993-02-25,T,°C,-3.21000
1993-02-25,p,hPa,970.18000
1993-02-25,T_max_h1,°C,0.38000
1993-02-26,StrGlo,W/m2,137.81000
1993-02-26,T,°C,-0.88000
1993-02-26,p,hPa,961.74000
1993-02-26,T_max_h1,°C,2.65000
1993-02-27,StrGlo,W/m2,117.88000
